latitude,longitude,weight,type
41.87892,-87.7451,443,trauma
41.88392,-87.7451,516,trauma
41.88892,-87.7451,612,trauma
41.89392,-87.7451,652,trauma
41.89892,-87.7451,695,trauma
41.90392,-87.7451,890,trauma
41.90892,-87.7451,933,trauma
41.91392,-87.7451,875,trauma
41.91892,-87.7451,1012,trauma
41.92392,-87.7451,1056,trauma
41.92892,-87.7451,1085,trauma
41.93392,-87.7451,1087,trauma
41.93892,-87.7451,1009,trauma
41.94392,-87.7451,1117,trauma
41.94892,-87.7451,1038,trauma
41.95392,-87.7451,1027,trauma
41.95892,-87.7451,939,trauma
41.96392,-87.7451,970,trauma
41.96892,-87.7451,1021,trauma
41.97392,-87.7451,1126,trauma
41.97892,-87.7451,1176,trauma
41.98392,-87.7451,1314,trauma
41.98892,-87.7451,1251,trauma
41.99392,-87.7451,1226,trauma
41.73892,-87.7401,1445,trauma
41.74392,-87.7401,1405,trauma
41.74892,-87.7401,1389,trauma
41.75392,-87.7401,1288,trauma
41.75892,-87.7401,1205,trauma
41.76392,-87.7401,1151,trauma
41.76892,-87.7401,1264,trauma
41.77392,-87.7401,1127,trauma
41.77892,-87.7401,1085,trauma
41.78392,-87.7401,1049,trauma
41.78892,-87.7401,1043,trauma
41.79392,-87.7401,910,trauma
41.79892,-87.7401,839,trauma
41.80392,-87.7401,797,trauma
41.80892,-87.7401,718,trauma
41.81392,-87.7401,654,trauma
41.81892,-87.7401,630,trauma
41.86892,-87.7401,373,trauma
41.87392,-87.7401,409,trauma
41.87892,-87.7401,440,trauma
41.88392,-87.7401,508,trauma
41.88892,-87.7401,545,trauma
41.89392,-87.7401,586,trauma
41.89892,-87.7401,778,trauma
41.90392,-87.7401,742,trauma
41.90892,-87.7401,893,trauma
41.91392,-87.7401,921,trauma
41.91892,-87.7401,1051,trauma
41.92392,-87.7401,989,trauma
41.92892,-87.7401,1071,trauma
41.93392,-87.7401,1043,trauma
41.93892,-87.7401,970,trauma
41.94392,-87.7401,1054,trauma
41.94892,-87.7401,991,trauma
41.95392,-87.7401,931,trauma
41.95892,-87.7401,764,trauma
41.96392,-87.7401,978,trauma
41.96892,-87.7401,1151,trauma
41.97392,-87.7401,1124,trauma
41.97892,-87.7401,1377,trauma
41.98392,-87.7401,1317,trauma
41.98892,-87.7401,1325,trauma
41.99392,-87.7401,1295,trauma
41.68392,-87.7351,1840,trauma
41.68892,-87.7351,1824,trauma
41.73892,-87.7351,1488,trauma
41.74392,-87.7351,1466,trauma
41.74892,-87.7351,1404,trauma
41.75392,-87.7351,1342,trauma
41.75892,-87.7351,1349,trauma
41.76392,-87.7351,1233,trauma
41.76892,-87.7351,1243,trauma
41.77392,-87.7351,1178,trauma
41.77892,-87.7351,1124,trauma
41.78392,-87.7351,1038,trauma
41.78892,-87.7351,988,trauma
41.79392,-87.7351,950,trauma
41.79892,-87.7351,878,trauma
41.80392,-87.7351,813,trauma
41.80892,-87.7351,795,trauma
41.81392,-87.7351,723,trauma
41.81892,-87.7351,523,trauma
41.82392,-87.7351,750,trauma
41.82892,-87.7351,714,trauma
41.83392,-87.7351,602,trauma
41.83892,-87.7351,556,trauma
41.84392,-87.7351,462,trauma
41.84892,-87.7351,450,trauma
41.85392,-87.7351,432,trauma
41.85892,-87.7351,418,trauma
41.86392,-87.7351,385,trauma
41.86892,-87.7351,332,trauma
41.87392,-87.7351,298,trauma
41.87892,-87.7351,453,trauma
41.88392,-87.7351,438,trauma
41.88892,-87.7351,564,trauma
41.89392,-87.7351,645,trauma
41.89892,-87.7351,731,trauma
41.90392,-87.7351,780,trauma
41.90892,-87.7351,877,trauma
41.91392,-87.7351,1002,trauma
41.91892,-87.7351,1004,trauma
41.92392,-87.7351,991,trauma
41.92892,-87.7351,1019,trauma
41.93392,-87.7351,1000,trauma
41.93892,-87.7351,931,trauma
41.94392,-87.7351,1001,trauma
41.94892,-87.7351,929,trauma
41.95392,-87.7351,913,trauma
41.95892,-87.7351,909,trauma
41.96392,-87.7351,987,trauma
41.96892,-87.7351,1204,trauma
41.97392,-87.7351,1146,trauma
41.97892,-87.7351,1316,trauma
41.98392,-87.7351,1311,trauma
41.98892,-87.7351,1343,trauma
41.99392,-87.7351,1353,trauma
41.68392,-87.7301,1817,trauma
41.68892,-87.7301,1864,trauma
41.73892,-87.7301,1495,trauma
41.74392,-87.7301,1438,trauma
41.74892,-87.7301,1376,trauma
41.75392,-87.7301,1310,trauma
41.75892,-87.7301,1329,trauma
41.76392,-87.7301,1256,trauma
41.76892,-87.7301,1205,trauma
41.77392,-87.7301,1182,trauma
41.77892,-87.7301,1084,trauma
41.78392,-87.7301,1016,trauma
41.78892,-87.7301,1008,trauma
41.79392,-87.7301,947,trauma
41.79892,-87.7301,834,trauma
41.80392,-87.7301,801,trauma
41.80892,-87.7301,766,trauma
41.81392,-87.7301,692,trauma
41.81892,-87.7301,652,trauma
41.82392,-87.7301,711,trauma
41.82892,-87.7301,677,trauma
41.83392,-87.7301,623,trauma
41.83892,-87.7301,556,trauma
41.84392,-87.7301,459,trauma
41.84892,-87.7301,360,trauma
41.85392,-87.7301,430,trauma
41.85892,-87.7301,376,trauma
41.86392,-87.7301,431,trauma
41.86892,-87.7301,409,trauma
41.87392,-87.7301,340,trauma
41.87892,-87.7301,429,trauma
41.88392,-87.7301,527,trauma
41.88892,-87.7301,636,trauma
41.89392,-87.7301,599,trauma
41.89892,-87.7301,684,trauma
41.90392,-87.7301,717,trauma
41.90892,-87.7301,831,trauma
41.91392,-87.7301,921,trauma
41.91892,-87.7301,999,trauma
41.92392,-87.7301,938,trauma
41.92892,-87.7301,912,trauma
41.93392,-87.7301,999,trauma
41.93892,-87.7301,883,trauma
41.94392,-87.7301,945,trauma
41.94892,-87.7301,968,trauma
41.95392,-87.7301,1005,trauma
41.95892,-87.7301,932,trauma
41.96392,-87.7301,1058,trauma
41.96892,-87.7301,1125,trauma
41.97392,-87.7301,1173,trauma
41.97892,-87.7301,1272,trauma
41.98392,-87.7301,1281,trauma
41.98892,-87.7301,1329,trauma
41.99392,-87.7301,1365,trauma
41.68392,-87.7251,1792,trauma
41.68892,-87.7251,1942,trauma
41.73892,-87.7251,1453,trauma
41.74392,-87.7251,1428,trauma
41.74892,-87.7251,1346,trauma
41.75392,-87.7251,1330,trauma
41.75892,-87.7251,1239,trauma
41.76392,-87.7251,1184,trauma
41.76892,-87.7251,1149,trauma
41.77392,-87.7251,1105,trauma
41.77892,-87.7251,1042,trauma
41.78392,-87.7251,963,trauma
41.78892,-87.7251,925,trauma
