Name,Address,Date,Time,Neighborhood,Age,Gender,Race,Latitude,Longitude
65,"1600 N. Spaulding Ave., Chicago, IL",3/10/2012,1:59 a.m.,Humboldt Park,23,Male,Black,41.9100247,-87.7094805
66,"2300 S. Damen Ave., Chicago, IL",3/12/2012,10:56 p.m.,Lower West Side,23,Male,White,41.850248,-87.676096
67,"900 E. 79th St., Chicago, IL",3/12/2012,8 p.m.,Greater Grand Crossing,25,Male,Black,41.7513121,-87.6027422
68,"8500 S. Kingston Ave., Chicago, IL",3/14/2012,5:43 p.m.,South Chicago,26,Male,Black,41.740718,-87.562774
69,"3600 W. 64th St., Chicago, IL",3/14/2012,9:48 p.m.,West Lawn,19,Male,White,41.7769868,-87.7131253
70,"3000 S. St. Louis Ave., Chicago, IL",3/15/2012,2:57 a.m.,South Lawndale,19,Male,White,41.8387927,-87.7125413
71,"5200 S. Troy St., Chicago, IL",3/16/2012,12:15 a.m.,Gage Park,42,Male,White,41.798865,-87.702833
72,"6300 N. Oakley Ave., Chicago, IL",3/16/2012,9:48 p.m.,West Ridge,19,Male,Black,41.9959672,-87.6873938
73,"3100 S. Springfield Ave., Chicago, IL",3/17/2012,3:35 p.m.,South Lawndale,6,Female,White,41.8368979,-87.7219179
74,"6400 S. Ellis Ave., Chicago, IL",3/17/2012,10:20 p.m.,Woodlawn,24,Male,Black,41.7778881,-87.6004175
75,"800 E. 79th St., Chicago, IL",3/17/2012,7:50 p.m.,Greater Grand Crossing,22,Male,Black,41.7512965,-87.6051528
76,"5900 S. Fairfield Ave., Chicago, IL",3/17/2012,7:04 p.m.,Chicago Lawn,24,Male,Black,41.7864116,-87.6923934
77,"7500 S. Wolcott Ave., Chicago, IL",3/18/2012,1:20 a.m.,Auburn Gresham,36,Male,Black,41.75738,-87.6712639
78,"1400 W. 53rd St., Chicago, IL",3/18/2012,1:55 a.m.,New City,24,Male,Black,41.7977555,-87.659833
79,"1300 N. Harding Ave., Chicago, IL",3/18/2012,10:50 p.m.,Humboldt Park,27,Male,White,41.9044525,-87.7251511
80,"2500 W. Lexington St., Chicago, IL",3/19/2012,1:36 a.m.,Near West Side,34,Male,Black,41.8720509,-87.6886237
81,"1500 W. 91st St., Chicago, IL",3/20/2012,6:18 p.m.,Washington Heights,24,Male,Black,41.7285571,-87.6604205
82,"1600 W. 72nd St., Chicago, IL",3/21/2012,10:07 a.m.,West Englewood,26,Male,Black,41.7630938,-87.663794
83,"700 W. 61st St., Chicago, IL",3/21/2012,8:37 a.m.,Englewood,30,Male,Black,41.78356,-87.642735
84,"2800 S. Kildare Ave., Chicago, IL",3/21/2012,1:13 p.m.,South Lawndale,22,Male,White,41.840336,-87.732076
85,"5500 S. Bishop St., Chicago, IL",3/22/2012,6:43 p.m.,West Englewood,39,Male,Black,41.79368,-87.6609455
86,"500 W. 75th St., Chicago, IL",3/23/2012,6:32 p.m.,Englewood,23,Male,Black,41.7580533,-87.6369469
87,"13300 S. Indiana Ave., Chicago, IL",3/24/2012,8:48 p.m.,Riverdale,22,Male,Black,41.653046,-87.618315
88,"6200 S. Honore St., Chicago, IL",3/24/2012,9:25 p.m.,West Englewood,46,Male,Black,41.7811842,-87.6703337
89,"4200 W. Cortland St., Chicago, IL",3/25/2012,9:55 a.m.,Hermosa,35,Male,White,41.9153132,-87.7313735
90,"2200 N. Lavergne Ave., Chicago, IL",3/25/2012,2:30 p.m.,Belmont Cragin,20,Male,White,41.92065,-87.751464
