latitude,longitude,weight,type
41.92892,-87.7251,894,potential
41.93392,-87.7251,939,potential
41.93892,-87.7251,814,potential
41.94392,-87.7251,927,potential
41.94892,-87.7251,905,potential
41.95392,-87.7251,918,potential
41.95892,-87.7251,953,potential
41.96392,-87.7251,1022,potential
41.96892,-87.7251,1102,potential
41.97392,-87.7251,1195,potential
41.97892,-87.7251,1325,potential
41.98392,-87.7251,1331,potential
41.98892,-87.7251,1212,potential
41.99392,-87.7251,1329,potential
41.68892,-87.7201,1525,potential
41.69392,-87.7201,1601,potential
41.69892,-87.7201,1687,potential
41.70392,-87.7201,1740,potential
41.70892,-87.7201,1710,potential
41.73892,-87.7201,1518,potential
41.74392,-87.7201,1372,potential
41.74892,-87.7201,1162,potential
41.75392,-87.7201,1166,potential
41.75892,-87.7201,1237,potential
41.76392,-87.7201,1190,potential
41.76892,-87.7201,1135,potential
41.77392,-87.7201,1015,potential
41.77892,-87.7201,1015,potential
41.78392,-87.7201,962,potential
41.78892,-87.7201,937,potential
41.79392,-87.7201,897,potential
41.79892,-87.7201,880,potential
41.80392,-87.7201,789,potential
41.80892,-87.7201,730,potential
41.81392,-87.7201,659,potential
41.81892,-87.7201,600,potential
41.82392,-87.7201,470,potential
41.82892,-87.7201,591,potential
41.83392,-87.7201,574,potential
41.83892,-87.7201,515,potential
41.84392,-87.7201,468,potential
41.84892,-87.7201,372,potential
41.85392,-87.7201,275,potential
41.85892,-87.7201,281,potential
41.86392,-87.7201,314,potential
41.86892,-87.7201,315,potential
41.87392,-87.7201,220,potential
41.87892,-87.7201,388,potential
41.88392,-87.7201,424,potential
41.88892,-87.7201,516,potential
41.89392,-87.7201,618,potential
41.89892,-87.7201,617,potential
41.90392,-87.7201,638,potential
41.90892,-87.7201,766,potential
41.91392,-87.7201,827,potential
41.91892,-87.7201,866,potential
41.92392,-87.7201,864,potential
41.92892,-87.7201,834,potential
41.93392,-87.7201,860,potential
41.93892,-87.7201,812,potential
41.94392,-87.7201,858,potential
41.94892,-87.7201,863,potential
41.95392,-87.7201,854,potential
41.95892,-87.7201,901,potential
41.96392,-87.7201,993,potential
41.96892,-87.7201,1068,potential
41.97392,-87.7201,1154,potential
41.97892,-87.7201,1177,potential
41.98392,-87.7201,1189,potential
41.98892,-87.7201,1258,potential
41.99392,-87.7201,1257,potential
41.68892,-87.7151,1586,potential
41.69392,-87.7151,1661,potential
41.69892,-87.7151,1719,potential
41.70392,-87.7151,1780,potential
41.70892,-87.7151,1756,potential
41.73892,-87.7151,1472,potential
41.74392,-87.7151,1470,potential
41.74892,-87.7151,1150,potential
41.75392,-87.7151,1172,potential
41.75892,-87.7151,1204,potential
41.76392,-87.7151,1188,potential
41.76892,-87.7151,1144,potential
41.77392,-87.7151,968,potential
41.77892,-87.7151,967,potential
41.78392,-87.7151,918,potential
